predictor_path,emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / alcohol-related insomnia (post-use or rebound) / *early_morning_awakening_post_alcohol,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *craving_urge_to_use_alcohol,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,substance-related and addictive disorders / substance use disorders / other substance use disorders / unknown or other substance use disorder / *impaired_control_over_substance_use
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',850.0,,,,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',,,,,880.0,800.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > AntiInflammatory_and_Immunomodulatory_Pharmacotherapy_Classes',,,,,820.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries',820.0,,,,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes',,760.0,,,860.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',,,720.0,,860.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',700.0,,860.0,,,800.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',,,700.0,,850.0,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Substance_Use_Treatment_Pharmacotherapy_Classes',,,,,850.0,700.0
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',750.0,830.0,600.0,,,900.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',,,,750.0,830.0,700.0
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',980.0,780.0,580.0,,,680.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',700.0,,,730.0,820.0,680.0
'[BIO] > Sleep_and_Circadian > Sleep_Environment',750.0,700.0,,,,
'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',,520.0,,,930.0,
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',,740.0,,,,700.0
'[PSYCHO] > Brief_and_Motivational_Approaches > Coaching_and_Behavior_Change_Support',,,,720.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',,,,710.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',,,700.0,,,
'[BIO] > Nutrition_and_Metabolism > Dietary_Patterns',,,,,,700.0
'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',,700.0,,,,
'[PSYCHO] > Brief_and_Motivational_Approaches > Motivational_Interviewing_Approach',,,,700.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',,,,700.0,,
'[PSYCHO] > Skills_Libraries > Stress_Management_and_Relaxation',700.0,,,,,
'[SOCIAL] > Social_Support_and_Belonging > Network_Building_And_Maintenance',,,,700.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',,440.0,750.0,,880.0,
'[SOCIAL] > Care_Navigation_Access_and_Coordination > Care_Navigation_and_Access',,,,680.0,,
'[SOCIAL] > Social_Support_and_Belonging > Support_Network_Development',,,,680.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Sensory_and_Network_Modulation',,,650.0,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Problem_Solving_Training',650.0,,,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Digital_and_Immersive_Neuromodulation',,,590.0,,,700.0
'[BIO] > Sleep_and_Circadian > Sleep_Supplements',,500.0,,760.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Emerging_and_Experimental_Approaches',,,600.0,,,
'[BIO] > Personalization_and_Monitoring > Wearables_and_Home_Monitoring',,600.0,,,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy',600.0,,,,,
