pseudoprofile_id,mapping_part,max_rank_mapping,criterion_columns_mode,n_mapping_rows_raw,n_mapping_rows_agg,n_criteria,n_predictors_rows,n_sparse_cells,weights,missing_as_zero,mapping_score_mode,mapping_score_max,hyde_scale_to_mapping_max,hyde_scale_factor_used,hyde_requires_mapping,expand_mapping_to_hyde_leaves,keep_unmatched_cluster_rows,n_hyde_leaves_scored_raw,notes
pseudoprofile_FTC_ID001,post_per_criterion,,criterion_path,27,27,3,17,27,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID002,post_per_criterion,,criterion_path,30,30,3,25,30,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID003,post_per_criterion,,criterion_path,48,48,5,36,48,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID004,post_per_criterion,,criterion_path,30,30,3,23,30,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID005,post_per_criterion,,criterion_path,60,60,6,38,60,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID006,post_per_criterion,,criterion_path,46,46,5,18,46,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID007,post_per_criterion,,criterion_path,30,30,3,22,30,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID008,post_per_criterion,,criterion_path,10,10,1,10,10,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID009,post_per_criterion,,criterion_path,30,30,3,26,30,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID010,post_per_criterion,,criterion_path,47,47,5,29,47,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID011,post_per_criterion,,criterion_path,42,42,5,34,42,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID012,post_per_criterion,,criterion_path,50,50,5,24,50,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID013,post_per_criterion,,criterion_path,60,60,6,35,60,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID014,post_per_criterion,,criterion_path,30,30,3,27,30,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID015,post_per_criterion,,criterion_path,40,40,4,31,40,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID016,post_per_criterion,,criterion_path,30,30,3,26,30,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID017,post_per_criterion,,criterion_path,7,7,1,7,7,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID018,post_per_criterion,,criterion_path,40,40,4,35,40,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID019,post_per_criterion,,criterion_path,30,30,3,21,30,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
pseudoprofile_FTC_ID020,post_per_criterion,,criterion_path,78,78,8,49,78,"{'w_mapping': 0.5, 'w_hyde': 0.5}",False,raw,1000.0,True,1000.0,True,True,True,200,"Mapping scores are NOT clipped. If mapping_score_mode=raw, HyDe scores are scaled by mapping_score_max when hyde_scale_to_mapping_max=True."
